#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
84;27.12.2021 23:54:51;-1009,805;Jack;Self play;Fail;259;11%
85;27.12.2021 23:55:53;-1249,109;Madox;Self play;Draw;299;100%
86;27.12.2021 23:55:53;-1086,037;Jack;Self play;Draw;299;100%
87;27.12.2021 23:56:10;-354,5142;Madox;Self play;Win;83;75%
88;27.12.2021 23:56:10;-278,908;Jack;Self play;Fail;83;75%
89;27.12.2021 23:56:59;-1096,992;Madox;Self play;Fail;262;17%
90;27.12.2021 23:56:59;-916,8323;Jack;Self play;Win;262;17%
91;27.12.2021 23:57:49;-1166,495;Madox;Self play;Win;276;17%
92;27.12.2021 23:57:49;-971,9347;Jack;Self play;Fail;276;17%
93;27.12.2021 23:58:04;-337,611;Madox;Self play;Win;81;100%
94;27.12.2021 23:58:04;-277,2058;Jack;Self play;Fail;81;100%
95;27.12.2021 23:58:57;-1258,707;Madox;Self play;Draw;299;75%
96;27.12.2021 23:58:57;-1023,447;Jack;Self play;Draw;299;75%
97;27.12.2021 23:59:09;-286,4907;Madox;Self play;Fail;68;100%
98;27.12.2021 23:59:09;-233,787;Jack;Self play;Win;68;100%
99;28.12.2021 00:00:02;-1266,806;Madox;Self play;Draw;299;92%
100;28.12.2021 00:00:02;-1034,445;Jack;Self play;Draw;299;92%
101;28.12.2021 00:00:56;-1251,308;Madox;Self play;Draw;300;56%
102;28.12.2021 00:00:56;-1037,245;Jack;Self play;Draw;300;56%
103;28.12.2021 00:01:54;-1090,135;Madox;Self play;Draw;300;94%
104;28.12.2021 00:01:54;-985,6571;Jack;Self play;Draw;300;94%
105;28.12.2021 00:02:54;-1050,143;Madox;Self play;Draw;300;100%
106;28.12.2021 00:02:54;-835,6974;Jack;Self play;Draw;300;100%
107;28.12.2021 00:03:46;-1028,247;Madox;Self play;Draw;300;55%
108;28.12.2021 00:03:46;-875,6877;Jack;Self play;Draw;300;55%
109;28.12.2021 00:04:37;-991,0557;Madox;Self play;Draw;300;100%
110;28.12.2021 00:04:37;-832,1992;Jack;Self play;Draw;300;100%
111;28.12.2021 00:04:52;-252,6031;Madox;Self play;Fail;81;100%
112;28.12.2021 00:04:52;-248,603;Jack;Self play;Win;81;100%
113;28.12.2021 00:05:07;-250,1107;Madox;Self play;Fail;87;68%
114;28.12.2021 00:05:07;-260,7116;Jack;Self play;Win;87;66%
115;28.12.2021 00:06:01;-837,1963;Madox;Self play;Draw;299;81%
116;28.12.2021 00:06:01;-827,7003;Jack;Self play;Draw;299;81%
117;28.12.2021 00:06:24;-324,4497;Madox;Self play;Fail;114;100%
118;28.12.2021 00:06:24;-335,3502;Jack;Self play;Win;114;100%
119;28.12.2021 00:06:30;-82,43333;Madox;Self play;Win;28;100%
120;28.12.2021 00:06:30;-95,53317;Jack;Self play;Fail;28;100%
121;28.12.2021 00:06:44;-214,1876;Madox;Self play;Fail;70;100%
122;28.12.2021 00:06:44;-221,1882;Jack;Self play;Win;70;100%
123;28.12.2021 00:07:41;-892,1831;Madox;Self play;Draw;299;0%
124;28.12.2021 00:07:41;-1018,652;Jack;Self play;Draw;299;0%
125;28.12.2021 00:07:48;-108,5431;Madox;Self play;Fail;36;90%
126;28.12.2021 00:07:48;-159,5447;Jack;Self play;Win;36;90%
127;28.12.2021 00:08:04;-253,0133;Madox;Self play;Fail;89;100%
