#;Time;RL points;Agent name;Learning type;Won Episode;Low health threshold;Critical low health threshold;Walk speed;Run speed;Sight range;Hear range;Attack range
1;07.12.2021 22:45:38;-662,7417;Madox;Self play;Fail;50;12;1;6;30;20;11
2;07.12.2021 22:45:38;-567,3486;Jack;Self play;Win;45;8;2;8;28;21;11
3;07.12.2021 22:46:06;-772,6062;Madox;Self play;Fail;40;8;1;4;28;18;8
4;07.12.2021 22:46:06;-589,3303;Jack;Self play;Win;40;8;1;4;28;18;8
5;07.12.2021 22:46:29;-477,6341;Madox;Self play;Win;45;12;3;7;31;20;9
6;07.12.2021 22:46:29;-556,7302;Jack;Self play;Fail;60;8;2;5;30;20;8
7;07.12.2021 22:46:46;-367,9155;Madox;Self play;Win;40;8;1;4;28;18;8
8;07.12.2021 22:46:46;-420,8675;Jack;Self play;Fail;40;8;1;4;28;18;8
9;07.12.2021 22:47:04;-410,2519;Madox;Self play;Win;40;9;3;8;32;20;11
10;07.12.2021 22:47:04;-514,1552;Jack;Self play;Fail;50;10;1;5;28;19;8
11;07.12.2021 22:47:39;-968,6165;Madox;Self play;Win;45;8;4;6;31;19;12
12;07.12.2021 22:47:39;-1040,256;Jack;Self play;Fail;50;12;2;8;29;18;9
13;07.12.2021 22:48:56;-1406,654;Jack;Self play;Draw;40;8;1;4;28;18;8
14;07.12.2021 22:48:56;-2255,785;Madox;Self play;Draw;40;8;1;4;28;18;8
15;07.12.2021 22:49:08;-249,4167;Madox;Self play;Win;40;8;1;4;28;18;8
16;07.12.2021 22:49:08;-311,4182;Jack;Self play;Fail;40;8;1;4;28;18;8
17;07.12.2021 22:49:30;-595,4286;Madox;Self play;Fail;40;8;1;4;28;18;8
18;07.12.2021 22:49:30;-456,5385;Jack;Self play;Win;40;8;1;4;28;18;8
19;07.12.2021 22:49:45;-329,4788;Madox;Self play;Win;40;8;1;4;28;18;8
20;07.12.2021 22:49:45;-400,8314;Jack;Self play;Fail;40;8;1;4;28;18;8
21;07.12.2021 22:49:57;-164,1649;Madox;Self play;Win;40;8;1;4;28;18;8
22;07.12.2021 22:49:57;-212,5658;Jack;Self play;Fail;40;8;1;4;28;18;8
23;07.12.2021 22:50:20;-398,7155;Madox;Self play;Fail;40;8;1;4;28;18;8
24;07.12.2021 22:50:20;-387,367;Jack;Self play;Win;40;8;1;4;28;18;8
25;07.12.2021 22:51:43;-2058,2;Jack;Self play;Draw;60;9;1;6;32;21;8
26;07.12.2021 22:51:43;-2054,5;Madox;Self play;Draw;45;8;2;4;30;20;11
27;07.12.2021 22:54:48;-405,5104;Madox;Self play;Fail;55;9;3;10;30;20;9
28;07.12.2021 22:54:48;-340,8074;Jack;Self play;Win;50;10;3;8;28;22;10
29;07.12.2021 22:55:16;-558,8908;Madox;Self play;Win;40;8;3;6;28;18;8
30;07.12.2021 22:55:16;-630,5334;Jack;Self play;Fail;40;8;3;6;28;18;8
31;07.12.2021 22:56:34;-1945,181;Jack;Self play;Draw;40;8;3;6;28;18;8
32;07.12.2021 22:56:34;-1963,527;Madox;Self play;Draw;40;8;3;6;28;18;8
33;07.12.2021 22:57:10;-766,2238;Madox;Self play;Win;40;8;3;6;28;18;8
34;07.12.2021 22:57:10;-880,1632;Jack;Self play;Fail;40;8;3;6;28;18;8
35;07.12.2021 22:57:27;-412,5062;Madox;Self play;Fail;40;8;3;6;28;18;8
36;07.12.2021 22:57:27;-356,6038;Jack;Self play;Win;40;8;3;6;28;18;8
37;07.12.2021 22:57:48;-507,7753;Madox;Self play;Win;40;8;3;6;28;18;8
38;07.12.2021 22:57:48;-552,3727;Jack;Self play;Fail;40;8;3;6;28;18;8
39;07.12.2021 22:58:08;-422,5479;Madox;Self play;Win;40;8;3;6;28;18;8
40;07.12.2021 22:58:08;-490,2498;Jack;Self play;Fail;40;8;3;6;28;18;8
41;07.12.2021 22:58:34;-596,3417;Madox;Self play;Fail;60;12;4;6;28;21;11
42;07.12.2021 22:58:34;-519,8021;Jack;Self play;Win;60;8;6;6;31;21;9
43;07.12.2021 22:58:39;-118,409;Madox;Self play;Fail;40;8;3;6;28;18;8
44;07.12.2021 22:58:39;-77,95926;Jack;Self play;Win;40;8;3;6;28;18;8
45;07.12.2021 22:59:04;-563,3896;Madox;Self play;Fail;40;8;3;6;28;18;8
46;07.12.2021 22:59:04;-501,8462;Jack;Self play;Win;40;8;3;6;28;18;8
47;07.12.2021 23:00:30;-1832,489;Madox;Self play;Fail;40;8;3;6;28;18;8
48;07.12.2021 23:00:30;-1660,967;Jack;Self play;Win;40;8;3;6;28;18;8
49;07.12.2021 23:01:02;-579,7602;Madox;Self play;Fail;40;8;3;6;28;18;8
50;07.12.2021 23:01:02;-489,2202;Jack;Self play;Win;40;8;3;6;28;18;8
51;07.12.2021 23:01:28;-496,2574;Madox;Self play;Fail;50;8;6;8;32;21;9
52;07.12.2021 23:01:28;-428,8549;Jack;Self play;Win;40;10;4;8;31;19;8
53;07.12.2021 23:02:07;-771,4857;Madox;Self play;Fail;40;8;3;6;28;18;8
54;07.12.2021 23:02:07;-718,3385;Jack;Self play;Win;40;8;3;6;28;18;8
55;07.12.2021 23:02:35;-540,7896;Madox;Self play;Fail;40;8;3;6;28;18;8
56;07.12.2021 23:02:35;-486,8918;Jack;Self play;Win;40;8;3;6;28;18;8
57;07.12.2021 23:03:21;-899,0479;Madox;Self play;Fail;40;8;3;6;28;18;8
58;07.12.2021 23:03:21;-759,3604;Jack;Self play;Win;40;8;3;6;28;18;8
59;07.12.2021 23:03:37;-260,9655;Madox;Self play;Win;40;8;3;6;28;18;8
60;07.12.2021 23:03:37;-307,7158;Jack;Self play;Fail;40;8;3;6;28;18;8
61;07.12.2021 23:05:01;-1503,852;Madox;Self play;Fail;40;8;3;6;28;18;8
62;07.12.2021 23:05:01;-1420,922;Jack;Self play;Win;40;8;3;6;28;18;8
63;07.12.2021 23:05:32;-477,9055;Madox;Self play;Fail;40;8;3;6;28;18;8
64;07.12.2021 23:05:32;-447,9053;Jack;Self play;Win;40;8;3;6;28;18;8
65;07.12.2021 23:06:55;-1424,452;Jack;Self play;Draw;40;8;3;6;28;18;8
66;07.12.2021 23:06:55;-1512,483;Madox;Self play;Draw;40;8;3;6;28;18;8
67;07.12.2021 23:07:18;-367,9613;Madox;Self play;Fail;40;8;3;6;28;18;8
68;07.12.2021 23:07:18;-324,5096;Jack;Self play;Win;40;8;3;6;28;18;8
69;07.12.2021 23:08:01;-769,4114;Madox;Self play;Fail;40;8;3;6;28;18;8
70;07.12.2021 23:08:01;-754,4974;Jack;Self play;Win;40;8;3;6;28;18;8
71;07.12.2021 23:09:26;-1424,901;Jack;Self play;Draw;40;8;3;6;28;18;8
72;07.12.2021 23:09:26;-1399,906;Madox;Self play;Draw;40;8;3;6;28;18;8
73;07.12.2021 23:10:46;-1365,571;Jack;Self play;Draw;40;8;3;6;28;18;8
74;07.12.2021 23:10:46;-1281,292;Madox;Self play;Draw;40;8;3;6;28;18;8
75;07.12.2021 23:12:05;-1283,245;Jack;Self play;Draw;55;9;6;9;28;22;9
76;07.12.2021 23:12:05;-1289,243;Madox;Self play;Draw;55;8;5;7;30;22;10
77;07.12.2021 23:12:57;-749,0807;Madox;Self play;Win;40;8;3;6;28;18;8
78;07.12.2021 23:12:57;-803,5809;Jack;Self play;Fail;40;8;3;6;28;18;8
79;07.12.2021 23:14:21;-1212,309;Jack;Self play;Draw;40;8;3;6;28;18;8
80;07.12.2021 23:14:21;-1210,762;Madox;Self play;Draw;40;8;3;6;28;18;8
81;07.12.2021 23:15:39;-998,2181;Jack;Self play;Draw;40;8;3;6;28;18;8
82;07.12.2021 23:15:39;-970,6765;Madox;Self play;Draw;40;8;3;6;28;18;8
83;07.12.2021 23:17:00;-993,8718;Jack;Self play;Draw;45;10;5;9;28;20;12
84;07.12.2021 23:17:00;-1022,616;Madox;Self play;Draw;50;10;4;7;32;21;8
85;07.12.2021 23:17:49;-620,7744;Madox;Self play;Fail;40;8;3;6;28;18;8
86;07.12.2021 23:17:49;-604,7725;Jack;Self play;Win;40;8;3;6;28;18;8
87;07.12.2021 23:19:09;-981,8176;Jack;Self play;Draw;40;8;3;6;28;18;8
88;07.12.2021 23:19:09;-976,9097;Madox;Self play;Draw;40;8;3;6;28;18;8
89;07.12.2021 23:19:44;-363,9491;Madox;Self play;Win;40;8;3;6;28;18;8
90;07.12.2021 23:19:44;-418,3999;Jack;Self play;Fail;40;8;3;6;28;18;8
91;07.12.2021 23:20:24;-500,03;Madox;Self play;Fail;60;12;5;7;28;19;8
