#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
70;31.12.2021 05:26:46;-136,6691;Jack;Self play;Fail;2;387;45%
71;31.12.2021 05:26:54;-10,52272;Madox;Self play;Win;1;42;100%
72;31.12.2021 05:26:54;-18,86773;Jack;Self play;Fail;1;42;100%
73;31.12.2021 05:26:57;-0,01474512;Madox;Self play;Win;1;14;100%
74;31.12.2021 05:26:57;-9,590065;Jack;Self play;Fail;1;14;100%
75;31.12.2021 05:28:16;-140,0046;Madox;Self play;Win;2;388;22%
76;31.12.2021 05:28:16;-146,9903;Jack;Self play;Fail;2;388;22%
77;31.12.2021 05:29:35;-154,7403;Madox;Self play;Win;2;409;96%
78;31.12.2021 05:29:35;-161,2807;Jack;Self play;Fail;2;409;96%
79;31.12.2021 05:30:23;-72,11653;Madox;Self play;Win;1;219;65%
80;31.12.2021 05:30:23;-84,72443;Jack;Self play;Fail;1;219;65%
81;31.12.2021 05:30:27;-11,59009;Madox;Self play;Fail;1;17;100%
82;31.12.2021 05:30:27;-0,2522435;Jack;Self play;Win;1;17;100%
83;31.12.2021 05:30:46;-32,79548;Madox;Self play;Fail;1;82;100%
84;31.12.2021 05:30:46;-18,52297;Jack;Self play;Win;1;82;100%
85;31.12.2021 05:31:01;-17,74765;Madox;Self play;Win;1;67;99%
86;31.12.2021 05:31:01;-24,75029;Jack;Self play;Fail;1;67;100%
87;31.12.2021 05:31:22;-36,99585;Madox;Self play;Fail;1;96;100%
88;31.12.2021 05:31:22;-28,01306;Jack;Self play;Win;1;96;48%
89;31.12.2021 05:31:54;-64,82465;Madox;Self play;Fail;1;146;100%
90;31.12.2021 05:31:54;-42,10424;Jack;Self play;Win;1;146;100%
91;31.12.2021 05:32:11;-34,15334;Madox;Self play;Fail;1;81;100%
92;31.12.2021 05:32:11;-18,03295;Jack;Self play;Win;1;81;100%
93;31.12.2021 05:33:14;-101,3105;Madox;Self play;Win;2;321;100%
94;31.12.2021 05:33:14;-109,5469;Jack;Self play;Fail;2;321;100%
95;31.12.2021 05:33:36;-36,0296;Madox;Self play;Win;1;118;68%
96;31.12.2021 05:33:36;-44,04169;Jack;Self play;Fail;1;118;68%
97;31.12.2021 05:33:42;-16,27366;Madox;Self play;Fail;1;33;100%
98;31.12.2021 05:33:42;-3,712046;Jack;Self play;Win;1;33;100%
99;31.12.2021 05:35:12;-153,6174;Madox;Self play;Fail;2;435;99%
100;31.12.2021 05:35:12;-147,4602;Jack;Self play;Win;2;435;85%
101;31.12.2021 05:35:25;-17,61543;Madox;Self play;Win;1;67;100%
102;31.12.2021 05:35:25;-27,68035;Jack;Self play;Fail;1;67;100%
103;31.12.2021 05:35:44;-25,42056;Madox;Self play;Win;1;95;99%
104;31.12.2021 05:35:44;-31,91327;Jack;Self play;Fail;1;95;99%
105;31.12.2021 05:35:56;-12,15256;Madox;Self play;Win;1;64;100%
106;31.12.2021 05:35:56;-28,00285;Jack;Self play;Fail;1;64;100%
107;31.12.2021 05:36:57;-109,4826;Madox;Self play;Fail;2;329;8%
108;31.12.2021 05:36:57;-88,08937;Jack;Self play;Win;2;329;8%
109;31.12.2021 05:38:15;-122,7119;Madox;Self play;Fail;2;337;95%
110;31.12.2021 05:38:15;-109,9463;Jack;Self play;Win;2;337;95%
111;31.12.2021 05:38:30;-20,15545;Madox;Self play;Win;1;71;100%
112;31.12.2021 05:38:30;-22,68035;Jack;Self play;Fail;1;71;100%
113;31.12.2021 05:38:40;-17,20521;Madox;Self play;Fail;1;48;95%
114;31.12.2021 05:38:40;-12,70277;Jack;Self play;Win;1;48;95%
115;31.12.2021 05:41:07;-217,8896;Madox;Self play;Win;3;701;100%
116;31.12.2021 05:41:07;-201,3694;Jack;Self play;Fail;3;701;61%
117;31.12.2021 05:42:35;-140,2305;Madox;Self play;Fail;2;449;92%
118;31.12.2021 05:42:35;-101,2817;Jack;Self play;Win;2;449;38%
119;31.12.2021 05:43:51;-90,14235;Madox;Self play;Fail;2;393;29%
120;31.12.2021 05:43:51;-112,5523;Jack;Self play;Win;2;393;82%
121;31.12.2021 05:45:30;-110,3832;Madox;Self play;Win;2;465;23%
122;31.12.2021 05:45:30;-124,994;Jack;Self play;Fail;2;465;86%
123;31.12.2021 05:46:12;-65,10839;Madox;Self play;Fail;1;211;100%
124;31.12.2021 05:46:12;-65,74831;Jack;Self play;Win;1;211;100%
125;31.12.2021 05:46:26;-27,82288;Madox;Self play;Fail;1;68;91%
126;31.12.2021 05:46:26;-20,67297;Jack;Self play;Win;1;68;91%
127;31.12.2021 05:46:37;-8,951042;Madox;Self play;Win;1;54;100%
128;31.12.2021 05:46:37;-12,95509;Jack;Self play;Fail;1;54;100%
129;31.12.2021 05:48:33;-161,3114;Madox;Self play;Win;2;585;71%
130;31.12.2021 05:48:33;-153,2376;Jack;Self play;Fail;2;585;71%
131;31.12.2021 05:51:56;-364,9747;Madox;Self play;Win;4;1023;99%
132;31.12.2021 05:51:56;-197,9043;Jack;Self play;Fail;4;1023;99%
133;31.12.2021 05:58:07;-829,4282;Madox;Self play;Fail;7;1811;99%
134;31.12.2021 05:58:07;-379,1437;Jack;Self play;Win;7;1811;84%
135;31.12.2021 05:58:10;-3,505032;Madox;Self play;Win;1;17;100%
136;31.12.2021 05:58:10;-8,389042;Jack;Self play;Fail;1;17;100%
